title,author,category
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Best Fiction
Wish You Were Here,Jodi Picoult,Best Fiction
The Winners,Fredrik Backman,Best Fiction
Remarkably Bright Creatures,Shel,Best Fiction
The Hotel Nantucket,Elin Hilderbrand,Best Fiction
Our Missing Hearts,Celeste Ng,Best Fiction
Cleopatra and Frankenstein,Coco Mellors,Best Fiction
To Paradise,Hanya Yanagihara,Best Fiction
Other Birds,Sarah Addison Allen,Best Fiction
Notes on an Execution,Danya Kukafka,Best Fiction
Mad Honey,Jodi Picoult,Best Fiction
Olga Dies Dreaming,Xóchitl González,Best Fiction
This Time Tomorrow,Emma Straub,Best Fiction
Demon Copperhead,Barbara Kingsolver,Best Fiction
True Biz,Sara Nović,Best Fiction
Nightcrawling,Leila Mottley,Best Fiction
Lucy,the Sea,Best Fiction
Honor,Thrity Umrigar,Best Fiction
How Not to Drown in a Glass of Water,Angie Cruz,Best Fiction
Now Is Not the Time to Panic,Kevin    Wilson,Best Fiction
The Maid,Nita Prose,Best Mystery & Thriller
The Paris Apartment,Lucy Foley,Best Mystery & Thriller
The Bullet That Missed,Richard Osman,Best Mystery & Thriller
A Flicker in the Dark,Stacy Willingham,Best Mystery & Thriller
The Book of Cold Cases,Simone St. James,Best Mystery & Thriller
Wrong Place Wrong Time,Gillian McAllister,Best Mystery & Thriller
Killers of a Certain Age,Deanna Raybourn,Best Mystery & Thriller
The It Girl,Ruth Ware,Best Mystery & Thriller
All Good People Here,Ashley Flowers,Best Mystery & Thriller
Daisy Darker,Alice Feeney,Best Mystery & Thriller
The Housemaid,Freida McFadden,Best Mystery & Thriller
The Golden Couple,Greer Hendricks,Best Mystery & Thriller
Things We Do in the Dark,Jennifer Hillier,Best Mystery & Thriller
The Violin Conspiracy,Brendan Slocumb,Best Mystery & Thriller
The Family Remains,Lisa Jewell,Best Mystery & Thriller
The Night Shift,Alex Finlay,Best Mystery & Thriller
Jackal,Erin E. Adams,Best Mystery & Thriller
The Overnight Guest,Heather Gudenkauf,Best Mystery & Thriller
The Family Game,Catherine Steadman,Best Mystery & Thriller
More Than You'll Ever Know,Katie  Gutierrez,Best Mystery & Thriller
Carrie Soto Is Back,Taylor Jenkins Reid,Best Historical Fiction
Lessons in Chemistry,Bonnie Garmus,Best Historical Fiction
Go Tell the Bees That I Am Gone,Diana Gabaldon,Best Historical Fiction
The Diamond Eye,Kate Quinn,Best Historical Fiction
Black Cake,Charmaine Wilkerson,Best Historical Fiction
Violeta,Isabel Allende,Best Historical Fiction
The Marriage Portrait,Maggie O'Farrell,Best Historical Fiction
Take My Hand,Dolen Perkins-Valdez,Best Historical Fiction
The Book Woman's Daughter,Kim Michele Richardson,Best Historical Fiction
Young Mungo,Douglas   Stuart,Best Historical Fiction
The Magnolia Palace,Fiona  Davis,Best Historical Fiction
The Last House on the Street,Diane Chamberlain,Best Historical Fiction
Memphis,Tara M. Stringfellow,Best Historical Fiction
Hester,Laurie Lico Albanese,Best Historical Fiction
The Last Rose of Shanghai,Weina Dai Randel,Best Historical Fiction
Shrines of Gaiety,Kate Atkinson,Best Historical Fiction
Trust,Hernan Diaz,Best Historical Fiction
The Passenger,Cormac McCarthy,Best Historical Fiction
Peach Blossom Spring,Melissa Fu,Best Historical Fiction
Four Treasures of the Sky,Jenny Tinghui Zhang,Best Historical Fiction
House of Sky and Breath,Sarah J. Maas,Best Fantasy
Babel,R.F. Kuang,Best Fantasy
Fairy Tale,Stephen King,Best Fantasy
The Atlas Six,Olivie Blake,Best Fantasy
The War of Two Queens,Jennifer L. Armentrout,Best Fantasy
Daughter of the Moon Goddess,Sue Lynn Tan,Best Fantasy
The Very Secret Society of Irregular Witches,Sangu Mandanna,Best Fantasy
Legends & Lattes,Travis Baldree,Best Fantasy
The Lost Metal,Brandon Sanderson,Best Fantasy
The Golden Enclaves,Naomi Novik,Best Fantasy
Elektra,Jennifer Saint,Best Fantasy
Kaikeyi,Vaishnavi Patel,Best Fantasy
The Book Eaters,Sunyi Dean,Best Fantasy
When Women Were Dragons,Kelly Barnhill,Best Fantasy
Nettle & Bone,T. Kingfisher,Best Fantasy
The World We Make,N.K. Jemisin,Best Fantasy
A River Enchanted,Rebecca   Ross,Best Fantasy
Thistlefoot,GennaRose Nethercott,Best Fantasy
The Stardust Thief,Chelsea Abdullah,Best Fantasy
Ordinary Monsters,J.M. Miro,Best Fantasy
Book Lovers,Emily Henry,Best Romance
Reminders of Him,Colleen Hoover,Best Romance
It Starts with Us,Colleen Hoover,Best Romance
Love on the Brain,Ali Hazelwood,Best Romance
Every Summer After,Carley Fortune,Best Romance
Things We Never Got Over,Lucy Score,Best Romance
Delilah Green Doesn't Care,Ashley Herring Blake,Best Romance
Twisted Hate,Ana Huang,Best Romance
Terms and Conditions,Lauren Asher,Best Romance
"Hook, Line, and Sinker",Tessa Bailey,Best Romance
Part of Your World,Ab,Best Romance
You Made a Fool of Death with Your Beauty,Akwaeke Emezi,Best Romance
Electric Idol,Katee Robert,Best Romance
The Bodyguard,Katherine Center,Best Romance
The American Roommate Experiment,Elena  Armas,Best Romance
Funny You Should Ask,Elissa Sussman,Best Romance
Thank You for Listening,Julia Whelan,Best Romance
The Kiss Curse,Erin Sterling,Best Romance
Dating Dr. Dil,Nisha Sharma,Best Romance
The Wedding Crasher,Mia Sosa,Best Romance
Sea of Tranquility,Emily St. John Mandel,Best Science Fiction
The Daughter of Doctor Moreau,Silvia Moreno-Garcia,Best Science Fiction
Nona the Ninth,Tamsyn Muir,Best Science Fiction
How High We Go in the Dark,Sequoia Nagamatsu,Best Science Fiction
Upgrade,Blake Crouch,Best Science Fiction
The Measure,Nikki Erlick,Best Science Fiction
Leviathan Falls,James S.A. Corey,Best Science Fiction
The Kaiju Preservation Society,John Scalzi,Best Science Fiction
Dead Silence,S.A. Barnes,Best Science Fiction
Hunt the Stars,Jessie Mihalik,Best Science Fiction
Ocean's Echo,Everina Maxwell,Best Science Fiction
Station Eternity,Mur Lafferty,Best Science Fiction
Leech,Hiron Ennes,Best Science Fiction
Self-Portrait with Nothing,Aimee Pokwatka,Best Science Fiction
